Key,Initiative Cards,Sub Initiative,Metric,Month,Actual,Forecast,YTD Actual Totals,YTD Forecast Totals,,,,,,,,,,,,,,
Initiative Cards-Influencers-EMV (USD)-April,Initiative Cards,Influencers,EMV (USD),April,,"10,494,500","60,532,761","70,837,875",,,,,,,,,,,,,,
Initiative Cards-Influencers-EMV (USD)-May,Initiative Cards,Influencers,EMV (USD),May,,"10,494,500","60,532,761","81,332,375",,,,,,,,,,,,,,
Initiative Cards-Influencers-EMV (USD)-June,Initiative Cards,Influencers,EMV (USD),June,,"20,989,000","60,532,761","102,321,375",,,,,,,,,,,,,,
Initiative Cards-Influencers-EMV (USD)-July,Initiative Cards,Influencers,EMV (USD),July,,"15,741,750","60,532,761","118,063,125",,,,,,,,,,,,,,
Initiative Cards-Influencers-EMV (USD)-August,Initiative Cards,Influencers,EMV (USD),August,,"20,989,000","60,532,761","139,052,125",,,,,,,,,,,,,,
Initiative Cards-Influencers-EMV (USD)-September,Initiative Cards,Influencers,EMV (USD),September,,"23,612,625","60,532,761","162,664,750",,,,,,,,,,,,,,
Initiative Cards-Influencers-EMV (USD)-October,Initiative Cards,Influencers,EMV (USD),October,,"34,107,125","60,532,761","196,771,875",,,,,,,,,,,,,,
Initiative Cards-Influencers-EMV (USD)-November,Initiative Cards,Influencers,EMV (USD),November,,"31,483,500","60,532,761","228,255,375",,,,,,,,,,,,,,
Initiative Cards-Influencers-EMV (USD)-December,Initiative Cards,Influencers,EMV (USD),December,,"34,107,125","60,532,761","262,362,500",,,,,,,,,,,,,,
Initiative Cards-Influencers-Engagement-January,Initiative Cards,Influencers,Engagement,January,"12,478,484","9,105,120","12,478,484","9,105,120",,,,,,,,,,,,,,
Initiative Cards-Influencers-Engagement-February,Initiative Cards,Influencers,Engagement,February,"8,711,383","9,105,120","21,189,867","18,210,240",,,,,,,,,,,,,,
Initiative Cards-Influencers-Engagement-March,Initiative Cards,Influencers,Engagement,March,"17,734,061","7,966,980","38,923,928","26,177,220",,,,,,,,,,,,,,
Initiative Cards-Influencers-Engagement-April,Initiative Cards,Influencers,Engagement,April,,"4,552,560","38,923,928","30,729,780",,,,,,,,,,,,,,
Initiative Cards-Influencers-Engagement-May,Initiative Cards,Influencers,Engagement,May,,"4,552,560","38,923,928","35,282,340",,,,,,,,,,,,,,
Initiative Cards-Influencers-Engagement-June,Initiative Cards,Influencers,Engagement,June,,"7,966,980","38,923,928","43,249,320",,,,,,,,,,,,,,
Initiative Cards-Influencers-Engagement-July,Initiative Cards,Influencers,Engagement,July,,"6,828,840","38,923,928","50,078,160",,,,,,,,,,,,,,
Initiative Cards-Influencers-Engagement-August,Initiative Cards,Influencers,Engagement,August,,"9,105,120","38,923,928","59,183,280",,,,,,,,,,,,,,
Initiative Cards-Influencers-Engagement-September,Initiative Cards,Influencers,Engagement,September,,"10,243,260","38,923,928","69,426,540",,,,,,,,,,,,,,
Initiative Cards-Influencers-Engagement-October,Initiative Cards,Influencers,Engagement,October,,"15,364,890","38,923,928","84,791,430",,,,,,,,,,,,,,
Initiative Cards-Influencers-Engagement-November,Initiative Cards,Influencers,Engagement,November,,"14,226,750","38,923,928","99,018,180",,,,,,,,,,,,,,
Initiative Cards-Influencers-Engagement-December,Initiative Cards,Influencers,Engagement,December,,"14,795,820","38,923,928","113,814,000",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
